player,goals,assists,games_starts,cards_yellow,cards_red,passes_completed,touches,shots,offsides,tackles,fouls,dispossessed,own_goals,clearances,team
Edinson Cavani,0,0,1.0,1,0,27.0,44.0,3,1,0.0,0,0.0,0,0.0,Uruguay
Edouard Mendy,0,0,4.0,0,0,88.0,128.0,0,0,0.0,0,0.0,0,3.0,Senegal
Edson Álvarez,0,0,2.0,1,0,86.0,131.0,1,1,3.0,4,2.0,0,2.0,Mexico
Eduardo Camavinga,0,0,1.0,0,0,88.0,138.0,0,0,14.0,2,3.0,0,6.0,France
Ehsan Hajsafi,0,0,3.0,0,0,61.0,118.0,1,0,6.0,1,1.0,0,2.0,IR Iran
Ellyes Skhiri,0,0,3.0,0,0,109.0,161.0,2,0,10.0,3,1.0,0,3.0,Tunisia
Emiliano Martínez,0,0,7.0,1,0,120.0,196.0,0,0,0.0,0,0.0,0,3.0,Argentina
Enner Valencia,3,0,3.0,0,0,40.0,98.0,8,2,2.0,3,6.0,0,2.0,Ecuador
Enzo Ebosse,0,0,1.0,0,0,34.0,49.0,0,0,4.0,0,0.0,0,5.0,Cameroon
Enzo Fernández,1,1,5.0,1,0,412.0,533.0,8,0,22.0,7,7.0,1,7.0,Argentina
Eray Cömert,0,0,,1,0,38.0,50.0,0,0,0.0,3,0.0,0,2.0,Switzerland
Eric Dier,0,0,,0,0,40.0,44.0,0,0,1.0,1,0.0,0,0.0,England
Eric Maxim Choupo-Moting,1,0,3.0,0,0,44.0,87.0,3,1,4.0,0,2.0,0,1.0,Cameroon
Erick Gutiérrez,0,0,,1,0,24.0,34.0,0,0,1.0,2,0.0,0,1.0,Mexico
Ethan Ampadu,0,0,3.0,0,0,108.0,178.0,1,0,4.0,5,3.0,0,10.0,Wales
Everton Ribeiro,0,0,,0,0,15.0,21.0,0,0,1.0,0,1.0,0,0.0,Brazil
Exequiel Palacios,0,0,,0,0,25.0,34.0,1,0,0.0,2,2.0,0,1.0,Argentina
Fabian Frei,0,0,,0,0,9.0,16.0,0,0,1.0,1,2.0,0,0.0,Switzerland
Fabian Rieder,0,0,1.0,1,0,13.0,32.0,0,0,3.0,4,2.0,0,1.0,Switzerland
Fabian Schär,0,0,2.0,2,0,65.0,100.0,2,0,2.0,1,1.0,0,7.0,Switzerland
Fabinho,0,0,1.0,0,0,51.0,63.0,0,0,3.0,2,0.0,0,2.0,Brazil
Facundo Pellistri,0,0,2.0,0,0,32.0,66.0,1,0,2.0,2,3.0,0,2.0,Uruguay
Famara Diedhiou,1,0,1.0,0,0,10.0,24.0,3,1,0.0,2,2.0,0,2.0,Senegal
Federico Valverde,0,0,3.0,0,0,159.0,225.0,7,0,7.0,6,2.0,0,1.0,Uruguay
Ferjani Sassi,0,0,,1,0,25.0,39.0,1,0,2.0,1,0.0,0,0.0,Tunisia
Ferrán Torres,2,0,3.0,0,0,59.0,115.0,3,2,0.0,1,7.0,0,0.0,Spain
Filip Kostić,0,0,2.0,0,0,72.0,130.0,1,2,6.0,3,1.0,0,1.0,Serbia
Filip Mladenović,0,0,1.0,0,0,20.0,29.0,1,0,0.0,0,0.0,0,1.0,Serbia
Filip Đuričić,0,0,,0,0,5.0,9.0,0,0,0.0,0,0.0,0,0.0,Serbia
Firas Al-Buraikan,0,1,3.0,0,0,42.0,94.0,2,1,3.0,2,3.0,0,4.0,Saudi Arabia
Fodé Ballo-Touré,0,0,,0,0,5.0,10.0,0,0,0.0,0,0.0,0,0.0,Senegal
